time,q1_des,q1,q1_err,q2_des,q2,q2_err,q3_des,q3,q3_err,q4_des,q4,q4_err,q5_des,q5,q5_err,q6_des,q6,q6_err,q7_des,q7,q7_err,dq1_des,dq1,dq1_err,dq2_des,dq2,dq2_err,dq3_des,dq3,dq3_err,dq4_des,dq4,dq4_err,dq5_des,dq5,dq5_err,dq6_des,dq6,dq6_err,dq7_des,dq7,dq7_err,qddsafe1,qddsafe2,qddsafe3,qddsafe4,qddsafe5,qddsafe6,qddsafe7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.000000,-0.001456,-0.001456,-0.000000,-0.553386,-0.553382,-0.000005,-0.000501,-0.000501,0.000000,-2.139945,-2.139940,-0.000004,-0.015011,-0.015011,0.000000,1.236741,1.236734,0.000007,0.717400,0.717399,0.000001,-0.000072,-0.000797,0.000725,-0.002421,-0.001880,-0.000541,0.000058,0.000039,0.000019,-0.002198,0.001015,-0.003213,0.000211,-0.000151,0.000362,0.003464,0.002145,0.001319,0.000690,-0.002221,0.002911,-0.018685,-0.624892,0.015050,-0.567356,0.054395,0.894047,0.178092,0.016291,-0.702502,0.024915,0.066687,-0.000547,-0.004410,0.001942
0.004845,-0.001456,-0.001455,-0.000001,-0.553386,-0.553379,-0.000007,-0.000501,-0.000505,0.000004,-2.139945,-2.139942,-0.000002,-0.015011,-0.015013,0.000002,1.236741,1.236730,0.000010,0.717400,0.717409,-0.000008,-0.000072,-0.000141,0.000069,-0.002421,0.000372,-0.002793,0.000058,-0.000855,0.000913,-0.002198,-0.000913,-0.001285,0.000211,-0.001783,0.001994,0.003464,0.000893,0.002570,0.000690,0.000887,-0.000197,-0.018685,-0.624892,0.015050,-0.567356,0.054395,0.894047,0.178092,0.016291,-0.702569,0.024937,0.066655,-0.000523,-0.004389,0.001941
0.009689,-0.001458,-0.001455,-0.000003,-0.553440,-0.553379,-0.000061,-0.000499,-0.000505,0.000005,-2.139994,-2.139942,-0.000051,-0.015006,-0.015013,0.000007,1.236818,1.236730,0.000088,0.717416,0.717409,0.000007,-0.000254,-0.000141,-0.000113,-0.008508,0.000372,-0.008880,0.000205,-0.000855,0.001059,-0.007725,-0.000913,-0.006812,0.000741,-0.001783,0.002524,0.012173,0.000893,0.011280,0.002425,0.000887,0.001537,-0.018314,-0.612500,0.014751,-0.556105,0.053316,0.876317,0.174561,0.015960,-0.689021,0.024473,0.065014,-0.000475,-0.004129,0.001916
0.014877,-0.001458,-0.001455,-0.000003,-0.553440,-0.553379,-0.000061,-0.000499,-0.000505,0.000005,-2.139994,-2.139942,-0.000051,-0.015006,-0.015013,0.000007,1.236818,1.236730,0.000088,0.717416,0.717409,0.000007,-0.000254,-0.000141,-0.000113,-0.008508,0.000372,-0.008880,0.000205,-0.000855,0.001059,-0.007725,-0.000913,-0.006812,0.000741,-0.001783,0.002524,0.012173,0.000893,0.011280,0.002425,0.000887,0.001537,-0.018314,-0.612500,0.014751,-0.556105,0.053316,0.876317,0.174561,0.015956,-0.689259,0.024501,0.064830,-0.000442,-0.004028,0.001923
0.020047,-0.001462,-0.001455,-0.000006,-0.553561,-0.553379,-0.000182,-0.000497,-0.000505,0.000008,-2.140104,-2.139942,-0.000161,-0.014995,-0.015013,0.000018,1.236991,1.236730,0.000261,0.717450,0.717409,0.000042,-0.000443,-0.000141,-0.000301,-0.014804,0.000372,-0.015175,0.000357,-0.000855,0.001211,-0.013441,-0.000913,-0.012528,0.001289,-0.001783,0.003072,0.021180,0.000893,0.020286,0.004219,0.000887,0.003332,-0.017923,-0.599415,0.014436,-0.544225,0.052177,0.857596,0.170832,0.015589,-0.675545,0.024026,0.062563,-0.000365,-0.003472,0.001923
0.024887,-0.001462,-0.001455,-0.000006,-0.553561,-0.553379,-0.000182,-0.000497,-0.000505,0.000008,-2.140104,-2.139942,-0.000161,-0.014995,-0.015013,0.000018,1.236991,1.236730,0.000261,0.717450,0.717409,0.000042,-0.000443,-0.000141,-0.000301,-0.014804,0.000372,-0.015175,0.000357,-0.000855,0.001211,-0.013441,-0.000913,-0.012528,0.001289,-0.001783,0.003072,0.021180,0.000893,0.020286,0.004219,0.000887,0.003332,-0.017923,-0.599415,0.014436,-0.544225,0.052177,0.857596,0.170832,0.015580,-0.675952,0.024056,0.062223,-0.000326,-0.003289,0.001938
0.030241,-0.001467,-0.001455,-0.000011,-0.553732,-0.553379,-0.000353,-0.000492,-0.000505,0.000012,-2.140259,-2.139942,-0.000316,-0.014980,-0.015013,0.000032,1.237236,1.236730,0.000506,0.717499,0.717409,0.000090,-0.000614,-0.000141,-0.000473,-0.020542,0.000372,-0.020914,0.000495,-0.000855,0.001349,-0.018651,-0.000913,-0.017738,0.001788,-0.001783,0.003572,0.029390,0.000893,0.028497,0.005854,0.000887,0.004967,-0.017559,-0.587233,0.014143,-0.533164,0.051117,0.840167,0.167360,0.015219,-0.663843,0.023631,0.059516,-0.000223,-0.002459,0.001967
0.035903,-0.001467,-0.001450,-0.000017,-0.553732,-0.553394,-0.000338,-0.000492,-0.000509,0.000016,-2.140259,-2.139944,-0.000315,-0.014980,-0.015010,0.000029,1.237236,1.236728,0.000509,0.717499,0.717403,0.000096,-0.000614,0.000514,-0.001128,-0.020542,0.000862,-0.021404,0.000495,-0.002181,0.002676,-0.018651,0.001303,-0.019953,0.001788,0.000588,0.001200,0.029390,0.000080,0.029310,0.005854,0.000174,0.005680,-0.017559,-0.587233,0.014143,-0.533164,0.051117,0.840167,0.167360,0.015075,-0.664586,0.023909,0.058543,-0.000377,-0.002093,0.002016
0.040141,-0.001474,-0.001450,-0.000024,-0.553967,-0.553394,-0.000572,-0.000487,-0.000509,0.000022,-2.140472,-2.139944,-0.000528,-0.014960,-0.015010,0.000050,1.237572,1.236728,0.000844,0.717566,0.717403,0.000163,-0.000788,0.000514,-0.001302,-0.026349,0.000862,-0.027211,0.000635,-0.002181,0.002816,-0.023923,0.001303,-0.025226,0.002294,0.000588,0.001706,0.037698,0.000080,0.037618,0.007509,0.000174,0.007335,-0.017182,-0.574643,0.013840,-0.521734,0.050021,0.822154,0.163772,0.014670,-0.652628,0.023505,0.055194,-0.000275,-0.000964,0.002074
0.045658,-0.001474,-0.001450,-0.000024,-0.553967,-0.553394,-0.000572,-0.000487,-0.000509,0.000022,-2.140472,-2.139944,-0.000528,-0.014960,-0.015010,0.000050,1.237572,1.236728,0.000844,0.717566,0.717403,0.000163,-0.000788,0.000514,-0.001302,-0.026349,0.000862,-0.027211,0.000635,-0.002181,0.002816,-0.023923,0.001303,-0.025226,0.002294,0.000588,0.001706,0.037698,0.000080,0.037618,0.007509,0.000174,0.007335,-0.017182,-0.574643,0.013840,-0.521734,0.050021,0.822154,0.163772,0.014628,-0.653529,0.023586,0.054359,-0.000244,-0.000542,0.002113
