time,q1_des,q1_real,q1_error,q2_des,q2_real,q2_error,q3_des,q3_real,q3_error,q4_des,q4_real,q4_error,q5_des,q5_real,q5_error,q6_des,q6_real,q6_error,q7_des,q7_real,q7_error,dq1_des,dq1_real,dq1_error,dq2_des,dq2_real,dq2_error,dq3_des,dq3_real,dq3_error,dq4_des,dq4_real,dq4_error,dq5_des,dq5_real,dq5_error,dq6_des,dq6_real,dq6_error,dq7_des,dq7_real,dq7_error,qdd1_cmd,qdd1_real,qdd1_error,qdd2_cmd,qdd2_real,qdd2_error,qdd3_cmd,qdd3_real,qdd3_error,qdd4_cmd,qdd4_real,qdd4_error,qdd5_cmd,qdd5_real,qdd5_error,qdd6_cmd,qdd6_real,qdd6_error,qdd7_cmd,qdd7_real,qdd7_error
0.003665,-0.003876,-0.002497,-0.001379,-0.234684,-0.780281,0.545597,0.006293,0.001424,0.004869,-1.328254,-2.345589,1.017335,-0.008414,-0.005580,-0.002834,1.083316,1.559801,-0.476485,0.732223,0.743904,-0.011680,-0.314719,-0.001134,-0.313585,0.393529,0.000166,0.393363,0.104666,0.001623,0.103043,0.733847,-0.000963,0.734809,0.016257,0.002960,0.013297,-0.352397,0.004828,-0.357225,-0.206594,0.014960,-0.221553,6.000000,nan,nan,2.585000,nan,nan,-0.832044,nan,nan,4.000000,nan,nan,-0.191552,nan,nan,-5.500000,nan,nan,17.000000,nan,nan
0.013436,-0.005284,-0.002551,-0.002734,-0.228172,-0.780283,0.552111,0.007278,0.001458,0.005821,-1.316178,-2.345693,1.029516,-0.008264,-0.005497,-0.002767,1.077538,1.559931,-0.482393,0.731820,0.744320,-0.012501,-0.022188,-0.000289,-0.021899,0.863509,-0.000138,0.863647,0.097411,0.001193,0.096218,1.598254,-0.003046,1.601299,0.014468,0.002265,0.012203,-0.763503,0.004388,-0.767891,0.076075,0.012837,0.063238,6.000000,0.086490,5.913510,2.585000,-0.031054,2.616054,-0.653002,-0.044046,-0.608956,4.000000,-0.213177,4.213177,-0.174733,-0.071093,-0.103641,-5.500000,-0.045021,-5.454979,14.212062,-0.217267,14.429329
0.023442,-0.005265,-0.002551,-0.002714,-0.219089,-0.780283,0.561194,0.008223,0.001458,0.006766,-1.299371,-2.345693,1.046322,-0.008128,-0.005497,-0.002631,1.069518,1.559931,-0.490413,0.732790,0.744320,-0.011531,-0.024878,-0.000289,-0.024589,0.872543,-0.000138,0.872681,0.091794,0.001193,0.090601,1.614769,-0.003046,1.617814,0.012806,0.002265,0.010541,-0.769694,0.004388,-0.774082,0.067497,0.012837,0.054661,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,-0.469670,0.000000,-0.469670,-4.000000,0.000000,-4.000000,-0.157512,0.000000,-0.157512,5.500000,0.000000,5.500000,-15.926595,0.000000,-15.926595
0.033428,-0.006377,-0.002551,-0.003827,-0.211492,-0.780283,0.568791,0.009238,0.001458,0.007781,-1.285295,-2.345693,1.060399,-0.007980,-0.005497,-0.002483,1.062827,1.559931,-0.497104,0.732711,0.744320,-0.011610,-0.185905,-0.000289,-0.185616,0.693125,-0.000138,0.693263,0.129612,0.001193,0.128419,1.286425,-0.003046,1.289471,0.020895,0.002265,0.018629,-0.608280,0.004388,-0.612668,-0.052029,0.012837,-0.064866,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,3.500000,0.000000,3.500000,-4.000000,0.000000,-4.000000,2.097938,0.000000,2.097938,3.579927,0.000000,3.579927,-1.664500,0.000000,-1.664500
0.043476,-0.008684,-0.002551,-0.006133,-0.204182,-0.780283,0.576101,0.011206,0.001458,0.009749,-1.271706,-2.345693,1.073988,-0.007621,-0.005497,-0.002124,1.056455,1.559931,-0.503476,0.732461,0.744320,-0.011859,-0.262192,-0.000289,-0.261903,0.797083,-0.000138,0.797221,0.272136,0.001193,0.270944,1.483506,-0.003046,1.486552,0.052830,0.002265,0.050565,-0.690334,0.004388,-0.694722,0.024027,0.012837,0.011191,-6.000000,0.000000,-6.000000,2.585000,0.000000,2.585000,3.500000,0.000000,3.500000,4.000000,0.000000,4.000000,1.915107,0.000000,1.915107,-4.252199,0.000000,-4.252199,0.691156,0.000000,0.691156
0.053436,-0.012190,-0.001631,-0.010559,-0.197497,-0.779765,0.582268,0.013388,0.001477,0.011911,-1.259304,-2.345287,1.085983,-0.007223,-0.005625,-0.001598,1.050709,1.559789,-0.509080,0.731272,0.744353,-0.013081,-0.469141,0.028565,-0.497706,0.419227,0.003341,0.415886,0.086753,-0.037678,0.124431,0.769472,0.011789,0.757684,0.009074,-0.010247,0.019322,-0.354377,-0.010683,-0.343694,-0.373303,-0.002306,-0.370997,-6.000000,2.897140,-8.897140,-2.585000,0.349292,-2.934292,-3.500000,-3.902935,0.402935,-4.000000,1.489458,-5.489458,-7.039199,-1.256353,-5.782846,5.500000,-1.513229,7.013229,-17.000000,-1.520382,-15.479618
0.063437,-0.016721,-0.001631,-0.015091,-0.195320,-0.779765,0.584445,0.013158,0.001477,0.011681,-1.255382,-2.345287,1.089905,-0.007371,-0.005625,-0.001746,1.048921,1.559789,-0.510868,0.726540,0.744353,-0.017813,-0.369042,0.028565,-0.397607,0.080180,0.003341,0.076839,-0.097956,-0.037678,-0.060277,0.136967,0.011789,0.125178,-0.029976,-0.010247,-0.019728,-0.060138,-0.010683,-0.049455,-0.469753,-0.002306,-0.467448,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,-2.140362,0.000000,-2.140362,5.500000,0.000000,5.500000,7.342793,0.000000,7.342793
0.073478,-0.019622,-0.001631,-0.017991,-0.195320,-0.779765,0.584445,0.011709,0.001477,0.010232,-1.255497,-2.345287,1.089790,-0.007761,-0.005625,-0.002136,1.049013,1.559789,-0.510776,0.722117,0.744353,-0.022236,-0.226731,0.028565,-0.255296,-0.059263,0.003341,-0.062603,-0.180854,-0.037678,-0.143176,-0.121460,0.011789,-0.133249,-0.045812,-0.010247,-0.035565,0.060824,-0.010683,0.071507,-0.418880,-0.002306,-0.416574,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,-1.013971,0.000000,-1.013971,5.500000,0.000000,5.500000,2.790256,0.000000,2.790256
0.083438,-0.021622,-0.002583,-0.019039,-0.196084,-0.778757,0.582673,0.009740,0.001379,0.008361,-1.257037,-2.344414,1.087377,-0.008249,-0.006100,-0.002150,1.049782,1.558173,-0.508391,0.718009,0.744336,-0.026328,-0.192618,-0.055063,-0.137555,-0.073583,0.032844,-0.106426,-0.204925,-0.048895,-0.156030,-0.150307,0.039522,-0.189828,-0.050356,-0.018650,-0.031706,0.076317,-0.094196,0.170513,-0.413538,-0.001158,-0.412380,-1.496886,-8.396835,6.899948,2.585000,2.962282,-0.377282,0.261969,-1.126237,1.388207,4.000000,2.784573,1.215427,0.057855,-0.843725,0.901581,-3.231551,-8.385304,5.153753,-1.530151,0.115244,-1.645395
0.093459,-0.023618,-0.002583,-0.021035,-0.196628,-0.778757,0.582129,0.007697,0.001379,0.006318,-1.258201,-2.344414,1.086213,-0.008752,-0.006100,-0.002652,1.050401,1.558173,-0.507772,0.713795,0.744336,-0.030541,-0.204966,-0.055063,-0.149903,-0.036847,0.032844,-0.069690,-0.203116,-0.048895,-0.154220,-0.085604,0.039522,-0.125125,-0.049953,-0.018650,-0.031302,0.048830,-0.094196,0.143026,-0.426674,-0.001158,-0.425517,-0.967474,0.000000,-0.967474,2.585000,0.000000,2.585000,0.099212,0.000000,0.099212,4.000000,0.000000,4.000000,0.022615,0.000000,0.022615,-2.254314,0.000000,-2.254314,-1.091606,0.000000,-1.091606
